athlete,age,country,year,date,sport,gold,silver,bronze,total,combined_text,clean_text,cluster
Kirsty Coventry,20.0,Zimbabwe,2004,29/08/2004,Swimming,1,1,1,3,Kirsty Coventry 20.0 Zimbabwe 29/08/2004 Swimming,kirsty coventry zimbabwe swimming,1
Ian Crocker,21.0,United States,2004,29/08/2004,Swimming,1,1,1,3,Ian Crocker 21.0 United States 29/08/2004 Swimming,ian crocker united state swimming,0
Grant Hackett,24.0,Australia,2004,29/08/2004,Swimming,1,2,0,3,Grant Hackett 24.0 Australia 29/08/2004 Swimming,grant hackett australia swimming,1
Brendan Hansen,22.0,United States,2004,29/08/2004,Swimming,1,1,1,3,Brendan Hansen 22.0 United States 29/08/2004 Swimming,brendan hansen united state swimming,0
Jodie Henry,20.0,Australia,2004,29/08/2004,Swimming,3,0,0,3,Jodie Henry 20.0 Australia 29/08/2004 Swimming,jodie henry australia swimming,1
Otylia Jedrzejczak,20.0,Poland,2004,29/08/2004,Swimming,1,2,0,3,Otylia Jedrzejczak 20.0 Poland 29/08/2004 Swimming,otylia jedrzejczak poland swimming,1
Leisel Jones,18.0,Australia,2004,29/08/2004,Swimming,1,1,1,3,Leisel Jones 18.0 Australia 29/08/2004 Swimming,leisel jones australia swimming,1
Kosuke Kitajima,21.0,Japan,2004,29/08/2004,Swimming,2,0,1,3,Kosuke Kitajima 21.0 Japan 29/08/2004 Swimming,kosuke kitajima japan swimming,1
Laure Manaudou,17.0,France,2004,29/08/2004,Swimming,1,1,1,3,Laure Manaudou 17.0 France 29/08/2004 Swimming,laure manaudou france swimming,1
Aaron Peirsol,21.0,United States,2004,29/08/2004,Swimming,3,0,0,3,Aaron Peirsol 21.0 United States 29/08/2004 Swimming,aaron peirsol united state swimming,0
Kaitlin Sandeno,21.0,United States,2004,29/08/2004,Swimming,1,1,1,3,Kaitlin Sandeno 21.0 United States 29/08/2004 Swimming,kaitlin sandeno united state swimming,0
Roland Schoeman,24.0,South Africa,2004,29/08/2004,Swimming,1,1,1,3,Roland Schoeman 24.0 South Africa 29/08/2004 Swimming,roland schoeman south africa swimming,1
Pieter van den Hoogenband,26.0,Netherlands,2004,29/08/2004,Swimming,1,2,0,3,Pieter van den Hoogenband 26.0 Netherlands 29/08/2004 Swimming,pieter van den hoogenband netherlands swimming,1
Therese Alshammar,23.0,Sweden,2000,1/10/2000,Swimming,0,2,1,3,Therese Alshammar 23.0 Sweden 1/10/2000 Swimming,therese alshammar sweden swimming,1
Yana Klochkova,18.0,Ukraine,2000,1/10/2000,Swimming,2,1,0,3,Yana Klochkova 18.0 Ukraine 1/10/2000 Swimming,yana klochkova ukraine swimming,1
Lenny Krayzelburg,24.0,United States,2000,1/10/2000,Swimming,3,0,0,3,Lenny Krayzelburg 24.0 United States 1/10/2000 Swimming,lenny krayzelburg united state swimming,0
Massimiliano Rosolino,22.0,Italy,2000,1/10/2000,Swimming,1,1,1,3,Massimiliano Rosolino 22.0 Italy 1/10/2000 Swimming,massimiliano rosolino italy swimming,1
Petria Thomas,25.0,Australia,2000,1/10/2000,Swimming,0,2,1,3,Petria Thomas 25.0 Australia 1/10/2000 Swimming,petria thomas australia swimming,1
