athlete,age,country,year,date,sport,gold,silver,bronze,total,combined_text,clean_text,cluster
Yvonne McGregor,39.0,Great Britain,2000,1/10/2000,Cycling,0,0,1,1,Yvonne McGregor 39.0 Great Britain 1/10/2000 Cycling,yvonne mcgregor great britain cycling,1
Scott McGrory,30.0,Australia,2000,1/10/2000,Cycling,1,0,0,1,Scott McGrory 30.0 Australia 1/10/2000 Cycling,scott mcgrory australia cycling,1
Filip Meirhaeghe,29.0,Belgium,2000,1/10/2000,Cycling,0,1,0,1,Filip Meirhaeghe 29.0 Belgium 1/10/2000 Cycling,filip meirhaeghe belgium cycling,1
Chris Newton,26.0,Great Britain,2000,1/10/2000,Cycling,0,0,1,1,Chris Newton 26.0 Great Britain 1/10/2000 Cycling,chris newton great britain cycling,1
Stefan Nimke,22.0,Germany,2000,1/10/2000,Cycling,0,1,0,1,Stefan Nimke 22.0 Germany 1/10/2000 Cycling,stefan nimke germany cycling,1
Marty Nothstein,29.0,United States,2000,1/10/2000,Cycling,1,0,0,1,Marty Nothstein 29.0 United States 1/10/2000 Cycling,marty nothstein united state cycling,0
Paola Pezzo,31.0,Italy,2000,1/10/2000,Cycling,1,0,0,1,Paola Pezzo 31.0 Italy 1/10/2000 Cycling,paola pezzo italy cycling,1
Olaf Pollack,26.0,Germany,2000,1/10/2000,Cycling,1,0,0,1,Olaf Pollack 26.0 Germany 1/10/2000 Cycling,olaf pollack germany cycling,1
Christoph Sauser,24.0,Switzerland,2000,1/10/2000,Cycling,0,0,1,1,Christoph Sauser 24.0 Switzerland 1/10/2000 Cycling,christoph sauser switzerland cycling,1
Olga Slyusareva,31.0,Russia,2000,1/10/2000,Cycling,0,0,1,1,Olga Slyusareva 31.0 Russia 1/10/2000 Cycling,olga slyusareva russia cycling,1
Bryan Steel,31.0,Great Britain,2000,1/10/2000,Cycling,0,0,1,1,Bryan Steel 31.0 Great Britain 1/10/2000 Cycling,bryan steel great britain cycling,1
Oleksandr Symonenko,26.0,Ukraine,2000,1/10/2000,Cycling,0,1,0,1,Oleksandr Symonenko 26.0 Ukraine 1/10/2000 Cycling,oleksandr symonenko ukraine cycling,1
Arnaud Tournant,22.0,France,2000,1/10/2000,Cycling,1,0,0,1,Arnaud Tournant 22.0 France 1/10/2000 Cycling,arnaud tournant france cycling,1
Marco Villa,31.0,Italy,2000,1/10/2000,Cycling,0,0,1,1,Marco Villa 31.0 Italy 1/10/2000 Cycling,marco villa italy cycling,1
Aleksandr Vinokurov,27.0,Kazakhstan,2000,1/10/2000,Cycling,0,1,0,1,Aleksandr Vinokurov 27.0 Kazakhstan 1/10/2000 Cycling,aleksandr vinokurov kazakhstan cycling,1
Bradley Wiggins,20.0,Great Britain,2000,1/10/2000,Cycling,0,0,1,1,Bradley Wiggins 20.0 Great Britain 1/10/2000 Cycling,bradley wiggins great britain cycling,1
Milton Wynants,28.0,Uruguay,2000,1/10/2000,Cycling,0,1,0,1,Milton Wynants 28.0 Uruguay 1/10/2000 Cycling,milton wynants uruguay cycling,1
Iryna Yanovych,24.0,Ukraine,2000,1/10/2000,Cycling,0,0,1,1,Iryna Yanovych 24.0 Ukraine 1/10/2000 Cycling,iryna yanovych ukraine cycling,1
Vyacheslav Yekimov,34.0,Russia,2000,1/10/2000,Cycling,1,0,0,1,Vyacheslav Yekimov 34.0 Russia 1/10/2000 Cycling,vyacheslav yekimov russia cycling,1
Diana Žiliute,24.0,Lithuania,2000,1/10/2000,Cycling,0,0,1,1,Diana Žiliute 24.0 Lithuania 1/10/2000 Cycling,diana iliute lithuania cycling,1
Cori Bartel,38.0,Canada,2010,28/02/2010,Curling,0,1,0,1,Cori Bartel 38.0 Canada 28/02/2010 Curling,cori bartel canada curling,1
Cheryl Bernard,43.0,Canada,2010,28/02/2010,Curling,0,1,0,1,Cheryl Bernard 43.0 Canada 28/02/2010 Curling,cheryl bernard canada curling,1
Carolyn Darbyshire-McRory,46.0,Canada,2010,28/02/2010,Curling,0,1,0,1,Carolyn Darbyshire-McRory 46.0 Canada 28/02/2010 Curling,carolyn darbyshire mcrory canada curling,1
Markus Eggler,41.0,Switzerland,2010,28/02/2010,Curling,0,0,1,1,Markus Eggler 41.0 Switzerland 28/02/2010 Curling,markus eggler switzerland curling,1
Adam Enright,26.0,Canada,2010,28/02/2010,Curling,1,0,0,1,Adam Enright 26.0 Canada 28/02/2010 Curling,adam enright canada curling,1
Jan Hauser,25.0,Switzerland,2010,28/02/2010,Curling,0,0,1,1,Jan Hauser 25.0 Switzerland 28/02/2010 Curling,jan hauser switzerland curling,1
Ben Hebert,26.0,Canada,2010,28/02/2010,Curling,1,0,0,1,Ben Hebert 26.0 Canada 28/02/2010 Curling,ben hebert canada curling,1
Marc Kennedy,28.0,Canada,2010,28/02/2010,Curling,1,0,0,1,Marc Kennedy 28.0 Canada 28/02/2010 Curling,marc kennedy canada curling,1
Cathrine Lindahl,39.0,Sweden,2010,28/02/2010,Curling,1,0,0,1,Cathrine Lindahl 39.0 Sweden 28/02/2010 Curling,cathrine lindahl sweden curling,1
Liu Yin,28.0,China,2010,28/02/2010,Curling,0,0,1,1,Liu Yin 28.0 China 28/02/2010 Curling,liu yin china curling,1
Eva Lund,38.0,Sweden,2010,28/02/2010,Curling,1,0,0,1,Eva Lund 38.0 Sweden 28/02/2010 Curling,eva lund sweden curling,1
Kevin Martin,43.0,Canada,2010,28/02/2010,Curling,1,0,0,1,Kevin Martin 43.0 Canada 28/02/2010 Curling,kevin martin canada curling,1
Kristie Moore,30.0,Canada,2010,28/02/2010,Curling,0,1,0,1,Kristie Moore 30.0 Canada 28/02/2010 Curling,kristie moore canada curling,1
John Morris,31.0,Canada,2010,28/02/2010,Curling,1,0,0,1,John Morris 31.0 Canada 28/02/2010 Curling,john morris canada curling,1
Torger Nergård,35.0,Norway,2010,28/02/2010,Curling,0,1,0,1,Torger Nergård 35.0 Norway 28/02/2010 Curling,torger nerg norway curling,1
Anette Norberg,43.0,Sweden,2010,28/02/2010,Curling,1,0,0,1,Anette Norberg 43.0 Sweden 28/02/2010 Curling,anette norberg sweden curling,1
Susan O'Connor,32.0,Canada,2010,28/02/2010,Curling,0,1,0,1,Susan O'Connor 32.0 Canada 28/02/2010 Curling,susan connor canada curling,1
Håvard Vad Petersson,26.0,Norway,2010,28/02/2010,Curling,0,1,0,1,Håvard Vad Petersson 26.0 Norway 28/02/2010 Curling,vard vad petersson norway curling,1
Ralph Stöckli,33.0,Switzerland,2010,28/02/2010,Curling,0,0,1,1,Ralph Stöckli 33.0 Switzerland 28/02/2010 Curling,ralph ckli switzerland curling,1
Simon Strübin,30.0,Switzerland,2010,28/02/2010,Curling,0,0,1,1,Simon Strübin 30.0 Switzerland 28/02/2010 Curling,simon str bin switzerland curling,1
Christoffer Svae,27.0,Norway,2010,28/02/2010,Curling,0,1,0,1,Christoffer Svae 27.0 Norway 28/02/2010 Curling,christoffer svae norway curling,1
Anna Svärd-Le Moine,36.0,Sweden,2010,28/02/2010,Curling,1,0,0,1,Anna Svärd-Le Moine 36.0 Sweden 28/02/2010 Curling,anna moine sweden curling,1
Thomas Ulsrud,38.0,Norway,2010,28/02/2010,Curling,0,1,0,1,Thomas Ulsrud 38.0 Norway 28/02/2010 Curling,thomas ulsrud norway curling,1
Wang Bingyu,25.0,China,2010,28/02/2010,Curling,0,0,1,1,Wang Bingyu 25.0 China 28/02/2010 Curling,wang bingyu china curling,1
Yue Qingshuang,24.0,China,2010,28/02/2010,Curling,0,0,1,1,Yue Qingshuang 24.0 China 28/02/2010 Curling,yue qingshuang china curling,1
Zhou Yan,27.0,China,2010,28/02/2010,Curling,0,0,1,1,Zhou Yan 27.0 China 28/02/2010 Curling,zhou yan china curling,1
Mike Adam,24.0,Canada,2006,26/02/2006,Curling,1,0,0,1,Mike Adam 24.0 Canada 26/02/2006 Curling,mike adam canada curling,1
Glenys Bakker,43.0,Canada,2006,26/02/2006,Curling,0,0,1,1,Glenys Bakker 43.0 Canada 26/02/2006 Curling,glenys bakker canada curling,1
Binia Beeli,27.0,Switzerland,2006,26/02/2006,Curling,0,1,0,1,Binia Beeli 27.0 Switzerland 26/02/2006 Curling,binia beeli switzerland curling,1
Pete Fenson,37.0,United States,2006,26/02/2006,Curling,0,0,1,1,Pete Fenson 37.0 United States 26/02/2006 Curling,pete fenson united state curling,0
Brad Gushue,25.0,Canada,2006,26/02/2006,Curling,1,0,0,1,Brad Gushue 25.0 Canada 26/02/2006 Curling,brad gushue canada curling,1
Russ Howard,49.0,Canada,2006,26/02/2006,Curling,1,0,0,1,Russ Howard 49.0 Canada 26/02/2006 Curling,rus howard canada curling,1
Sandra Jenkins,44.0,Canada,2006,26/02/2006,Curling,0,0,1,1,Sandra Jenkins 44.0 Canada 26/02/2006 Curling,sandra jenkins canada curling,1
Christine Keshen,28.0,Canada,2006,26/02/2006,Curling,0,0,1,1,Christine Keshen 28.0 Canada 26/02/2006 Curling,christine keshen canada curling,1
Kalle Kiiskinen,30.0,Finland,2006,26/02/2006,Curling,0,1,0,1,Kalle Kiiskinen 30.0 Finland 26/02/2006 Curling,kalle kiiskinen finland curling,1
Shannon Kleibrink,37.0,Canada,2006,26/02/2006,Curling,0,0,1,1,Shannon Kleibrink 37.0 Canada 26/02/2006 Curling,shannon kleibrink canada curling,1
Jamie Korab,26.0,Canada,2006,26/02/2006,Curling,1,0,0,1,Jamie Korab 26.0 Canada 26/02/2006 Curling,jamie korab canada curling,1
Cathrine Lindahl,35.0,Sweden,2006,26/02/2006,Curling,1,0,0,1,Cathrine Lindahl 35.0 Sweden 26/02/2006 Curling,cathrine lindahl sweden curling,1
Eva Lund,34.0,Sweden,2006,26/02/2006,Curling,1,0,0,1,Eva Lund 34.0 Sweden 26/02/2006 Curling,eva lund sweden curling,1
Wille Mäkelä,31.0,Finland,2006,26/02/2006,Curling,0,1,0,1,Wille Mäkelä 31.0 Finland 26/02/2006 Curling,wille kel finland curling,1
Michèle Moser,26.0,Switzerland,2006,26/02/2006,Curling,0,1,0,1,Michèle Moser 26.0 Switzerland 26/02/2006 Curling,mich moser switzerland curling,1
Mark Nichols,26.0,Canada,2006,26/02/2006,Curling,1,0,0,1,Mark Nichols 26.0 Canada 26/02/2006 Curling,mark nichols canada curling,1
Amy Nixon,28.0,Canada,2006,26/02/2006,Curling,0,0,1,1,Amy Nixon 28.0 Canada 26/02/2006 Curling,amy nixon canada curling,1
Anette Norberg,39.0,Sweden,2006,26/02/2006,Curling,1,0,0,1,Anette Norberg 39.0 Sweden 26/02/2006 Curling,anette norberg sweden curling,1
Mirjam Ott,34.0,Switzerland,2006,26/02/2006,Curling,0,1,0,1,Mirjam Ott 34.0 Switzerland 26/02/2006 Curling,mirjam ott switzerland curling,1
Joe Polo,23.0,United States,2006,26/02/2006,Curling,0,0,1,1,Joe Polo 23.0 United States 26/02/2006 Curling,joe polo united state curling,0
Shawn Rojeski,34.0,United States,2006,26/02/2006,Curling,0,0,1,1,Shawn Rojeski 34.0 United States 26/02/2006 Curling,shawn rojeski united state curling,0
Teemu Salo,32.0,Finland,2006,26/02/2006,Curling,0,1,0,1,Teemu Salo 32.0 Finland 26/02/2006 Curling,teemu salo finland curling,1
John Shuster,23.0,United States,2006,26/02/2006,Curling,0,0,1,1,John Shuster 23.0 United States 26/02/2006 Curling,john shuster united state curling,0
Valeria Spälty,22.0,Switzerland,2006,26/02/2006,Curling,0,1,0,1,Valeria Spälty 22.0 Switzerland 26/02/2006 Curling,valeria lty switzerland curling,1
Anna Svärd-Le Moine,32.0,Sweden,2006,26/02/2006,Curling,1,0,0,1,Anna Svärd-Le Moine 32.0 Sweden 26/02/2006 Curling,anna moine sweden curling,1
Markku Uusipaavalniemi,39.0,Finland,2006,26/02/2006,Curling,0,1,0,1,Markku Uusipaavalniemi 39.0 Finland 26/02/2006 Curling,markku uusipaavalniemi finland curling,1
Don Bartlett,41.0,Canada,2002,24/02/2002,Curling,0,1,0,1,Don Bartlett 41.0 Canada 24/02/2002 Curling,bartlett canada curling,1
Laurence Bidaud,33.0,Switzerland,2002,24/02/2002,Curling,0,1,0,1,Laurence Bidaud 33.0 Switzerland 24/02/2002 Curling,laurence bidaud switzerland curling,1
Flemming Davanger,38.0,Norway,2002,24/02/2002,Curling,1,0,0,1,Flemming Davanger 38.0 Norway 24/02/2002 Curling,flemming davanger norway curling,1
Luzia Ebnöther,30.0,Switzerland,2002,24/02/2002,Curling,0,1,0,1,Luzia Ebnöther 30.0 Switzerland 24/02/2002 Curling,luzia ebn ther switzerland curling,1
Markus Eggler,33.0,Switzerland,2002,24/02/2002,Curling,0,0,1,1,Markus Eggler 33.0 Switzerland 24/02/2002 Curling,markus eggler switzerland curling,1
Tanya Frei,29.0,Switzerland,2002,24/02/2002,Curling,0,1,0,1,Tanya Frei 29.0 Switzerland 24/02/2002 Curling,tanya frei switzerland curling,1
Damian Grichting,28.0,Switzerland,2002,24/02/2002,Curling,0,0,1,1,Damian Grichting 28.0 Switzerland 24/02/2002 Curling,damian grichting switzerland curling,1
Debbie Knox,33.0,Great Britain,2002,24/02/2002,Curling,1,0,0,1,Debbie Knox 33.0 Great Britain 24/02/2002 Curling,debbie knox great britain curling,1
Kelley Law,36.0,Canada,2002,24/02/2002,Curling,0,0,1,1,Kelley Law 36.0 Canada 24/02/2002 Curling,kelley law canada curling,1
Fiona MacDonald,27.0,Great Britain,2002,24/02/2002,Curling,1,0,0,1,Fiona MacDonald 27.0 Great Britain 24/02/2002 Curling,fiona macdonald great britain curling,1
Kevin Martin,35.0,Canada,2002,24/02/2002,Curling,0,1,0,1,Kevin Martin 35.0 Canada 24/02/2002 Curling,kevin martin canada curling,1
Rhona Martin,35.0,Great Britain,2002,24/02/2002,Curling,1,0,0,1,Rhona Martin 35.0 Great Britain 24/02/2002 Curling,rhona martin great britain curling,1
Margaret Morton,34.0,Great Britain,2002,24/02/2002,Curling,1,0,0,1,Margaret Morton 34.0 Great Britain 24/02/2002 Curling,margaret morton great britain curling,1
Diane Nelson,43.0,Canada,2002,24/02/2002,Curling,0,0,1,1,Diane Nelson 43.0 Canada 24/02/2002 Curling,diane nelson canada curling,1
Torger Nergård,27.0,Norway,2002,24/02/2002,Curling,1,0,0,1,Torger Nergård 27.0 Norway 24/02/2002 Curling,torger nerg norway curling,1
Cheryl Noble,45.0,Canada,2002,24/02/2002,Curling,0,0,1,1,Cheryl Noble 45.0 Canada 24/02/2002 Curling,cheryl noble canada curling,1
Mirjam Ott,30.0,Switzerland,2002,24/02/2002,Curling,0,1,0,1,Mirjam Ott 30.0 Switzerland 24/02/2002 Curling,mirjam ott switzerland curling,1
Bent Ånund Ramsfjell,34.0,Norway,2002,24/02/2002,Curling,1,0,0,1,Bent Ånund Ramsfjell 34.0 Norway 24/02/2002 Curling,bent nund ramsfjell norway curling,1
Marco Ramstein,23.0,Switzerland,2002,24/02/2002,Curling,0,0,1,1,Marco Ramstein 23.0 Switzerland 24/02/2002 Curling,marco ramstein switzerland curling,1
Janice Rankin,30.0,Great Britain,2002,24/02/2002,Curling,1,0,0,1,Janice Rankin 30.0 Great Britain 24/02/2002 Curling,janice rankin great britain curling,1
Nadia Röthlisberger,29.0,Switzerland,2002,24/02/2002,Curling,0,1,0,1,Nadia Röthlisberger 29.0 Switzerland 24/02/2002 Curling,nadia thlisberger switzerland curling,1
Carter Rycroft,24.0,Canada,2002,24/02/2002,Curling,0,1,0,1,Carter Rycroft 24.0 Canada 24/02/2002 Curling,carter rycroft canada curling,1
Andi Schwaller,31.0,Switzerland,2002,24/02/2002,Curling,0,0,1,1,Andi Schwaller 31.0 Switzerland 24/02/2002 Curling,andi schwaller switzerland curling,1
Christof Schwaller,35.0,Switzerland,2002,24/02/2002,Curling,0,0,1,1,Christof Schwaller 35.0 Switzerland 24/02/2002 Curling,christof schwaller switzerland curling,1
Julie Sutton-Skinner,33.0,Canada,2002,24/02/2002,Curling,0,0,1,1,Julie Sutton-Skinner 33.0 Canada 24/02/2002 Curling,julie sutton skinner canada curling,1
Ken Tralnberg,45.0,Canada,2002,24/02/2002,Curling,0,1,0,1,Ken Tralnberg 45.0 Canada 24/02/2002 Curling,ken tralnberg canada curling,1
Pål Trulsen,39.0,Norway,2002,24/02/2002,Curling,1,0,0,1,Pål Trulsen 39.0 Norway 24/02/2002 Curling,trulsen norway curling,1
Lars Vågberg,34.0,Norway,2002,24/02/2002,Curling,1,0,0,1,Lars Vågberg 34.0 Norway 24/02/2002 Curling,lars gberg norway curling,1
Don Walchuk,38.0,Canada,2002,24/02/2002,Curling,0,1,0,1,Don Walchuk 38.0 Canada 24/02/2002 Curling,walchuk canada curling,1
Georgina Wheatcroft,36.0,Canada,2002,24/02/2002,Curling,0,0,1,1,Georgina Wheatcroft 36.0 Canada 24/02/2002 Curling,georgina wheatcroft canada curling,1
Tobias Angerer,32.0,Germany,2010,28/02/2010,Cross Country Skiing,0,1,0,1,Tobias Angerer 32.0 Germany 28/02/2010 Cross Country Skiing,tobias angerer germany cross country skiing,1
Lars Berger,30.0,Norway,2010,28/02/2010,Cross Country Skiing,0,1,0,1,Lars Berger 30.0 Norway 28/02/2010 Cross Country Skiing,lars berger norway cross country skiing,1
Dario Cologna,23.0,Switzerland,2010,28/02/2010,Cross Country Skiing,1,0,0,1,Dario Cologna 23.0 Switzerland 28/02/2010 Cross Country Skiing,dario cologna switzerland cross country skiing,1
Miriam Gössner,19.0,Germany,2010,28/02/2010,Cross Country Skiing,0,1,0,1,Miriam Gössner 19.0 Germany 28/02/2010 Cross Country Skiing,miriam ssner germany cross country skiing,1
Odd-Bjørn Hjelmeset,38.0,Norway,2010,28/02/2010,Cross Country Skiing,0,1,0,1,Odd-Bjørn Hjelmeset 38.0 Norway 28/02/2010 Cross Country Skiing,odd hjelmeset norway cross country skiing,1
Martin Jakš,23.0,Czech Republic,2010,28/02/2010,Cross Country Skiing,0,0,1,1,Martin Jakš 23.0 Czech Republic 28/02/2010 Cross Country Skiing,martin jak czech republic cross country skiing,1
Therese Johaug,21.0,Norway,2010,28/02/2010,Cross Country Skiing,1,0,0,1,Therese Johaug 21.0 Norway 28/02/2010 Cross Country Skiing,therese johaug norway cross country skiing,1
Irina Khazova,25.0,Russia,2010,28/02/2010,Cross Country Skiing,0,0,1,1,Irina Khazova 25.0 Russia 28/02/2010 Cross Country Skiing,irina khazova russia cross country skiing,1
Nataliya Korostelyova,28.0,Russia,2010,28/02/2010,Cross Country Skiing,0,0,1,1,Nataliya Korostelyova 28.0 Russia 28/02/2010 Cross Country Skiing,nataliya korostelyova russia cross country skiing,1
Martin Koukal,31.0,Czech Republic,2010,28/02/2010,Cross Country Skiing,0,0,1,1,Martin Koukal 31.0 Czech Republic 28/02/2010 Cross Country Skiing,martin koukal czech republic cross country skiing,1
Nikita Kryukov,24.0,Russia,2010,28/02/2010,Cross Country Skiing,1,0,0,1,Nikita Kryukov 24.0 Russia 28/02/2010 Cross Country Skiing,nikita kryukov russia cross country skiing,1
Virpi Kuitunen,33.0,Finland,2010,28/02/2010,Cross Country Skiing,0,0,1,1,Virpi Kuitunen 33.0 Finland 28/02/2010 Cross Country Skiing,virpi kuitunen finland cross country skiing,1
Riitta-Liisa Lassila-Roponen,31.0,Finland,2010,28/02/2010,Cross Country Skiing,0,0,1,1,Riitta-Liisa Lassila-Roponen 31.0 Finland 28/02/2010 Cross Country Skiing,riitta liisa lassila roponen finland cross country skiing,1
Jirí Magál,32.0,Czech Republic,2010,28/02/2010,Cross Country Skiing,0,0,1,1,Jirí Magál 32.0 Czech Republic 28/02/2010 Cross Country Skiing,jir mag czech republic cross country skiing,1
Petra Majdic,30.0,Slovenia,2010,28/02/2010,Cross Country Skiing,0,0,1,1,Petra Majdic 30.0 Slovenia 28/02/2010 Cross Country Skiing,petra majdic slovenia cross country skiing,1
Nikolay Morilov,23.0,Russia,2010,28/02/2010,Cross Country Skiing,0,0,1,1,Nikolay Morilov 23.0 Russia 28/02/2010 Cross Country Skiing,nikolay morilov russia cross country skiing,1
Pirjo Muranen,28.0,Finland,2010,28/02/2010,Cross Country Skiing,0,0,1,1,Pirjo Muranen 28.0 Finland 28/02/2010 Cross Country Skiing,pirjo muranen finland cross country skiing,1
Aleksandr Panzhinsky,20.0,Russia,2010,28/02/2010,Cross Country Skiing,0,1,0,1,Aleksandr Panzhinsky 20.0 Russia 28/02/2010 Cross Country Skiing,aleksandr panzhinsky russia cross country skiing,1
Øystein Pettersen,27.0,Norway,2010,28/02/2010,Cross Country Skiing,1,0,0,1,Øystein Pettersen 27.0 Norway 28/02/2010 Cross Country Skiing,ystein pettersen norway cross country skiing,1
Aleksey Petukhov,26.0,Russia,2010,28/02/2010,Cross Country Skiing,0,0,1,1,Aleksey Petukhov 26.0 Russia 28/02/2010 Cross Country Skiing,aleksey petukhov russia cross country skiing,1
Pietro Piller Cottrer,35.0,Italy,2010,28/02/2010,Cross Country Skiing,0,1,0,1,Pietro Piller Cottrer 35.0 Italy 28/02/2010 Cross Country Skiing,pietro piller cottrer italy cross country skiing,1
Daniel Richardsson,27.0,Sweden,2010,28/02/2010,Cross Country Skiing,1,0,0,1,Daniel Richardsson 27.0 Sweden 28/02/2010 Cross Country Skiing,daniel richardsson sweden cross country skiing,1
Vibeke Skofterud,29.0,Norway,2010,28/02/2010,Cross Country Skiing,1,0,0,1,Vibeke Skofterud 29.0 Norway 28/02/2010 Cross Country Skiing,vibeke skofterud norway cross country skiing,1
Kristina Šmigun-Vähi,32.0,Estonia,2010,28/02/2010,Cross Country Skiing,0,1,0,1,Kristina Šmigun-Vähi 32.0 Estonia 28/02/2010 Cross Country Skiing,kristina migun estonia cross country skiing,1
Anders Södergren,32.0,Sweden,2010,28/02/2010,Cross Country Skiing,1,0,0,1,Anders Södergren 32.0 Sweden 28/02/2010 Cross Country Skiing,anders dergren sweden cross country skiing,1
Kristin Størmer Steira,28.0,Norway,2010,28/02/2010,Cross Country Skiing,1,0,0,1,Kristin Størmer Steira 28.0 Norway 28/02/2010 Cross Country Skiing,kristin rmer steira norway cross country skiing,1
Martin Johnsrud Sundby,25.0,Norway,2010,28/02/2010,Cross Country Skiing,0,1,0,1,Martin Johnsrud Sundby 25.0 Norway 28/02/2010 Cross Country Skiing,martin johnsrud sundby norway cross country skiing,1
Tim Tscharnke,20.0,Germany,2010,28/02/2010,Cross Country Skiing,0,1,0,1,Tim Tscharnke 20.0 Germany 28/02/2010 Cross Country Skiing,tim tscharnke germany cross country skiing,1
Katrin Zeller,30.0,Germany,2010,28/02/2010,Cross Country Skiing,0,1,0,1,Katrin Zeller 30.0 Germany 28/02/2010 Cross Country Skiing,katrin zeller germany cross country skiing,1
Ivan Alypov,23.0,Russia,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Ivan Alypov 23.0 Russia 26/02/2006 Cross Country Skiing,ivan alypov russia cross country skiing,1
Lina Andersson,24.0,Sweden,2006,26/02/2006,Cross Country Skiing,1,0,0,1,Lina Andersson 24.0 Sweden 26/02/2006 Cross Country Skiing,lina andersson sweden cross country skiing,1
Nataliya Baranova,30.0,Russia,2006,26/02/2006,Cross Country Skiing,1,0,0,1,Nataliya Baranova 30.0 Russia 26/02/2006 Cross Country Skiing,nataliya baranova russia cross country skiing,1
Lukáš Bauer,28.0,Czech Republic,2006,26/02/2006,Cross Country Skiing,0,1,0,1,Lukáš Bauer 28.0 Czech Republic 26/02/2006 Cross Country Skiing,luk bauer czech republic cross country skiing,1
Viola Bauer,29.0,Germany,2006,26/02/2006,Cross Country Skiing,0,1,0,1,Viola Bauer 29.0 Germany 26/02/2006 Cross Country Skiing,viola bauer germany cross country skiing,1
Marit Bjørgen,25.0,Norway,2006,26/02/2006,Cross Country Skiing,0,1,0,1,Marit Bjørgen 25.0 Norway 26/02/2006 Cross Country Skiing,marit rgen norway cross country skiing,1
Stefanie Böhler,24.0,Germany,2006,26/02/2006,Cross Country Skiing,0,1,0,1,Stefanie Böhler 24.0 Germany 26/02/2006 Cross Country Skiing,stefanie hler germany cross country skiing,1
Mikhail Botvinov,38.0,Austria,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Mikhail Botvinov 38.0 Austria 26/02/2006 Cross Country Skiing,mikhail botvinov austria cross country skiing,1
Antonella Confortola-Wyatt,30.0,Italy,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Antonella Confortola-Wyatt 30.0 Italy 26/02/2006 Cross Country Skiing,antonella confortola wyatt italy cross country skiing,1
Chandra Crawford,22.0,Canada,2006,26/02/2006,Cross Country Skiing,1,0,0,1,Chandra Crawford 22.0 Canada 26/02/2006 Cross Country Skiing,chandra crawford canada cross country skiing,1
Anna Dahlberg-Olsson,29.0,Sweden,2006,26/02/2006,Cross Country Skiing,1,0,0,1,Anna Dahlberg-Olsson 29.0 Sweden 26/02/2006 Cross Country Skiing,anna dahlberg olsson sweden cross country skiing,1
Roddy Darragon,22.0,France,2006,26/02/2006,Cross Country Skiing,0,1,0,1,Roddy Darragon 22.0 France 26/02/2006 Cross Country Skiing,roddy darragon france cross country skiing,1
Frode Estil,33.0,Norway,2006,26/02/2006,Cross Country Skiing,0,1,0,1,Frode Estil 33.0 Norway 26/02/2006 Cross Country Skiing,frode estil norway cross country skiing,1
Jens Filbrich,26.0,Germany,2006,26/02/2006,Cross Country Skiing,0,1,0,1,Jens Filbrich 26.0 Germany 26/02/2006 Cross Country Skiing,jens filbrich germany cross country skiing,1
Arianna Follis,28.0,Italy,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Arianna Follis 28.0 Italy 26/02/2006 Cross Country Skiing,arianna follis italy cross country skiing,1
Mathias Fredriksson,33.0,Sweden,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Mathias Fredriksson 33.0 Sweden 26/02/2006 Cross Country Skiing,mathias fredriksson sweden cross country skiing,1
Tor-Arne Hetland,32.0,Norway,2006,26/02/2006,Cross Country Skiing,0,1,0,1,Tor-Arne Hetland 32.0 Norway 26/02/2006 Cross Country Skiing,tor arne hetland norway cross country skiing,1
Justyna Kowalczyk,23.0,Poland,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Justyna Kowalczyk 23.0 Poland 26/02/2006 Cross Country Skiing,justyna kowalczyk poland cross country skiing,1
Virpi Kuitunen,29.0,Finland,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Virpi Kuitunen 29.0 Finland 26/02/2006 Cross Country Skiing,virpi kuitunen finland cross country skiing,1
Larisa Kurkina,32.0,Russia,2006,26/02/2006,Cross Country Skiing,1,0,0,1,Larisa Kurkina 32.0 Russia 26/02/2006 Cross Country Skiing,larisa kurkina russia cross country skiing,1
Mats Larsson,25.0,Sweden,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Mats Larsson 25.0 Sweden 26/02/2006 Cross Country Skiing,mat larsson sweden cross country skiing,1
Johan Olsson,25.0,Sweden,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Johan Olsson 25.0 Sweden 26/02/2006 Cross Country Skiing,johan olsson sweden cross country skiing,1
Gabriella Paruzzi,36.0,Italy,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Gabriella Paruzzi 36.0 Italy 26/02/2006 Cross Country Skiing,gabriella paruzzi italy cross country skiing,1
Hilde Gjermundshaug Pedersen,41.0,Norway,2006,26/02/2006,Cross Country Skiing,0,0,1,1,Hilde Gjermundshaug Pedersen 41.0 Norway 26/02/2006 Cross Country Skiing,hilde gjermundshaug pedersen norway cross country skiing,1
Sara Renner,29.0,Canada,2006,26/02/2006,Cross Country Skiing,0,1,0,1,Sara Renner 29.0 Canada 26/02/2006 Cross Country Skiing,sara renner canada cross country skiing,1
