mission,company,location,date,time,rocket,price,successful,original_text,clean_text,cluster,PCA_1,PCA_2,cluster_label
Galileo FOC FM8-FM9,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2015-12-17,11:51:00,Soyuz ST-B/Fregat-MT,22220000,True,Galileo FOC FM8-FM9,galileo foc fm fm,1,-0.09775334192691339,-0.04368849342219669,fm / fm fm / galileo
TeLEOS-1 & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2015-12-16,12:30:00,PSLV-CA,21900000,True,TeLEOS-1 & Rideshares,teleos rideshares,6,-0.0908080723244537,-0.036172385787788204,crs / gsat / apollo
Elektro-L n†­2,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",2015-12-11,13:45:00,Zenit-3 SLBF,22850000,True,Elektro-L n†­2,elektrol n†­,6,-0.08893711356433312,-0.0341646695375245,crs / gsat / apollo
LISA Pathfinder,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2015-12-03,4:04:00,Vega,2180000,True,LISA Pathfinder,lisa pathfinder,6,-0.08748149034646929,-0.03283651036645683,crs / gsat / apollo
"Arabsat 6B, GSAT-15",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2015-11-10,21:34:00,Ariane 5 ECA,22000000,True,"Arabsat 6B, GSAT-15",arabsat b gsat,6,-0.09562951566249042,-0.041431035091374864,crs / gsat / apollo
"NBN Co 1A, ARSAT-2",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2015-09-30,20:30:00,Ariane 5 ECA,19340000,True,"NBN Co 1A, ARSAT-2",nbn co a arsat,6,-0.08781440932969875,-0.03059896741997921,crs / gsat / apollo
Astrosat & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2015-09-28,4:30:00,PSLV-XL,18700000,True,Astrosat & Rideshares,astrosat rideshares,6,-0.09080807232445458,-0.03617238578787165,crs / gsat / apollo
Galileo FOC FM05-FM06,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2015-09-11,2:08:00,Soyuz ST-B/Fregat-MT,20160000,True,Galileo FOC FM05-FM06,galileo foc fm fm,1,-0.09775334192691339,-0.04368849342219669,fm / fm fm / galileo
GSAT-6,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2015-08-27,11:22:00,GSLV Mk II,23060000,True,GSAT-6,gsat,6,-0.10065375256327912,-0.04715839800507049,crs / gsat / apollo
"Eutelsat 8 West B, Intelsat 34",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2015-08-20,20:34:00,Ariane 5 ECA,13630000,True,"Eutelsat 8 West B, Intelsat 34",eutelsat west b intelsat,6,-0.11450281495453511,0.25741360751164544,crs / gsat / apollo
"Star One C4, MSG-4",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2015-07-15,21:42:00,Ariane 5 ECA,9100000,True,"Star One C4, MSG-4",star one c msg,6,-0.08907630670424571,-0.03433177594995659,crs / gsat / apollo
